wavelength,flux,model,sky
4519.6,26.707,25.89,7.999
4520.641,26.471,25.83,8.788
4521.682,26.578,25.922,9.295
4522.723,26.945,25.948,9.322
4523.765,26.329,25.8,9.26
4524.806,26.414,25.598,8.856
4525.848,27.191,25.526,8.486
4526.891,25.901,25.467,8.349
4527.933,24.658,25.49,8.479
4528.976,24.966,25.61,8.9
4530.019,24.047,25.347,8.902
4531.062,25.179,25.308,8.822
4532.105,24.838,25.333,9.148
4533.149,26.169,25.312,9.317
4534.193,24.223,25.246,9.342
4535.237,26.419,25.151,9.105
4536.282,25.012,25.034,9.014
4537.326,24.974,25.062,9.41
4538.371,26.301,24.996,9.621
4539.416,25.507,24.973,9.532
4540.462,25.021,25.027,9.238
4541.507,24.603,24.997,8.967
4542.553,24.651,24.882,8.982
4543.599,27.559,24.985,8.107
4544.645,27.566,24.888,8.139
4545.692,24.65,24.841,9.495
4546.739,24.649,24.963,9.581
4547.786,23.82,24.974,9.646
4548.833,25.061,24.726,9.43
4549.881,24.883,24.808,8.86
4550.928,25.99,24.725,8.422
4551.976,24.738,24.765,8.875
4553.025,25.262,24.943,9.345
4554.073,25.677,24.857,8.973
4555.122,24.208,24.555,8.624
4556.171,25.354,24.644,8.479
4557.22,24.755,24.729,8.308
4558.27,23.8,24.661,8.602
4559.319,26.596,24.652,8.731
4560.369,26.22,24.827,8.819
4561.419,25.352,24.799,8.937
4562.47,24.104,24.631,8.596
4563.52,23.237,24.438,8.409
4564.571,24.409,24.406,8.326
4565.623,26.301,24.489,8.233
4566.674,25.433,24.545,8.246
4567.726,26.159,24.655,7.885
4568.777,24.764,24.674,8.222
4569.83,23.499,24.444,8.608
4570.882,23.285,24.458,8.511
4571.935,25.082,24.626,8.189
4572.987,24.886,24.507,8.02
4574.04,23.579,24.484,8.127
4575.094,24.601,24.713,8.38
4576.147,24.203,24.871,8.33
4577.201,22.953,24.651,8.218
4578.255,24.269,24.414,8.366
4579.31,25.743,24.608,8.206
4580.364,24.508,24.701,8.364
4581.419,23.471,24.731,8.595
4582.474,25.902,24.925,8.876
4583.529,24.468,24.81,9.037
4584.585,24.383,24.643,8.937
4585.64,25.54,24.866,8.39
4586.696,22.923,24.713,8.409
4587.753,24.344,24.944,8.484
4588.809,25.582,25.047,8.566
4589.866,24.674,24.994,8.637
4590.923,26.7,24.991,8.128
4591.98,27.187,25.048,7.7
4593.038,24.856,24.934,7.901
4594.095,24.899,25.034,8.381
