wavelength,flux,model,sky
5553.925,19.93,18.786,9.585
5555.204,19.774,18.938,9.262
5556.483,18.711,18.982,9.235
5557.763,18.936,19.167,9.533
5559.043,19.951,19.254,9.262
5560.323,20.318,19.394,8.968
5561.603,20.289,19.548,9.168
5562.884,19.184,19.599,9.792
5564.165,19.38,19.61,10.687
5565.446,20.48,19.896,11.266
5566.728,21.278,20.124,10.83
5568.01,19.916,20.268,9.671
5569.292,20.105,20.327,9.578
5570.575,20.403,20.399,9.587
5571.857,20.412,20.53,9.769
5573.141,20.704,20.522,9.5
5574.424,21.549,20.824,9.523
5575.708,22.274,21.163,20.537
5576.992,20.96,21.298,166.634
5578.276,33.142,21.439,508.259
5579.561,37.003,21.68,573.946
5580.846,10.235,21.328,179.218
5582.131,19.073,21.309,18.899
5583.416,21.585,21.255,10.028
5584.702,19.86,21.005,9.147
5585.988,20.951,20.813,9.411
5587.274,20.274,20.893,9.404
5588.561,19.649,20.9,9.101
5589.848,19.919,20.794,10.427
5591.135,20.863,20.483,10.908
5592.423,20.681,20.421,10.049
5593.711,19.82,20.532,9.272
5594.999,21.152,20.32,9.122
5596.287,21.191,20.059,8.988
5597.576,19.605,20.281,9.168
5598.865,20.299,20.193,10.024
5600.154,20.568,20.033,9.978
5601.444,20.551,20.034,9.075
5602.734,21,20.06,9.392
5604.024,19.475,20.153,9.412
5605.315,20.983,20.109,10.902
5606.606,21.109,19.975,12.953
5607.897,19.349,19.787,11.635
5609.188,21.589,19.747,10.245
5610.48,19.301,19.841,9.78
5611.772,19.169,19.406,9.596
5613.064,20.24,19.07,9.798
5614.357,20.665,18.901,9.777
5615.65,20.199,18.776,9.422
5616.943,19.426,18.612,9.331
5618.236,20.648,18.426,9.92
5619.53,19.883,18.327,10.146
5620.824,19.122,18.44,10.084
5622.119,19.332,18.176,9.725
5623.413,18.981,17.795,10.372
5624.708,18.413,17.692,11.515
5626.004,18.244,17.791,11.049
5627.299,18.038,17.612,8.828
5628.595,18.669,17.654,8.29
5629.891,17.739,17.549,9.716
5631.188,16.719,17.509,9.862
5632.484,16.402,17.5,9.699
5633.782,17.429,17.256,9.357
5635.079,13.94,17.121,9.875
5636.377,18.058,17.138,9.541
5637.675,16.769,17.276,9.427
5638.973,17.073,17.241,9.985
5640.271,16.589,17.063,10.084
5641.57,15.357,16.955,10.026
5642.869,16.949,16.756,9.695
5644.169,16.036,16.917,9.923
5645.469,17.532,16.987,10.904
5646.769,17.101,16.82,11.427
5648.069,16.569,16.666,10.699
5649.37,16.211,16.695,10.365
5650.671,15.118,16.537,11.055
5651.972,15.704,16.517,10.978
5653.274,15.558,16.579,10.431
5654.575,15.944,16.47,10.013
5655.878,16.61,16.297,10.469
5657.18,14.81,16.336,10.783
5658.483,16.019,16.368,11.29
5659.786,16.897,16.285,10.928
5661.089,14.358,16.156,10.62
5662.393,16.655,16.204,10.413
5663.697,14.508,16.257,10.977
5665.001,15.506,16.097,11.547
5666.306,16.642,16.191,12.615
5667.611,15.749,16.143,12.914
5668.916,15.116,16.071,14.077
5670.221,14.575,16.108,14.971
5671.527,16.158,16.165,15.689
5672.833,14.135,16.101,16.965
5674.139,15.739,16.055,17.441
5675.446,17.965,16.021,16.678
5676.753,15.921,15.786,16.136
5678.06,17.916,15.703,16.089
5679.368,14.983,15.911,16.959
5680.676,16.532,16.053,17.012
5681.984,15.095,15.827,20.018
5683.292,15.563,15.858,25.268
5684.601,16.075,15.766,30.524
5685.91,14.495,15.726,30.864
5687.22,15.023,15.794,32.031
5688.529,14.95,15.733,33.747
5689.839,14.818,15.591,36.809
5691.15,14.863,15.576,38.766
5692.46,15.916,15.438,36.025
5693.771,14.868,15.456,30.974
5695.082,15.514,15.674,26.454
5696.394,15.192,15.746,23.622
5697.706,15.804,15.55,21.142
5699.018,14.666,15.389,18.993
5700.33,13.73,15.421,18
5701.643,16.046,15.372,17.575
5702.956,16.3,15.291,15.9
5704.269,15.251,15.411,14.221
5705.583,16.763,15.406,14.014
5706.897,16.21,15.451,13.472
5708.211,15.442,15.372,13.12
5709.525,16.289,15.365,13.138
5710.84,15.838,15.407,12.917
5712.155,16.417,15.331,13.229
5713.471,16.394,15.418,13.748
5714.786,16.744,15.436,13.088
5716.102,16.496,15.376,11.978
5717.419,16.202,15.549,12.138
5718.735,15.625,15.707,13.048
5720.052,16.991,15.491,12.664
5721.37,15.422,15.595,12.369
5722.687,15.594,15.735,12.714
5724.005,15.856,15.581,12.662
5725.323,16.652,15.393,12.547
5726.642,15.84,15.345,12.714
5727.96,16.072,15.352,12.295
5729.279,15.143,15.397,11.658
5730.599,15.249,15.41,11.517
5731.918,13.616,15.484,11.582
5733.238,15.121,15.544,11.838
5734.559,14.597,15.542,11.696
5735.879,15.071,15.541,11.873
5737.2,15.51,15.607,11.754
5738.521,15.382,15.719,11.87
5739.843,14.432,15.793,11.41
5741.165,16.558,15.74,11.418
5742.487,14.758,15.686,11.002
5743.809,15.338,15.743,11.186
5745.132,16.022,15.637,11.434
5746.455,15.94,15.712,11.362
5747.778,15.056,15.812,11.683
5749.102,15.539,15.783,11.697
5750.426,17.862,15.692,11.216
5751.75,15.09,15.718,11.333
5753.075,15.603,15.836,11.258
5754.399,16.23,15.735,11.349
5755.725,17.102,15.672,11.188
5757.05,16.182,15.661,11.548
5758.376,16.821,15.706,11.505
5759.702,14.626,15.792,11.838
5761.028,16.436,15.717,12.481
5762.355,15.551,15.97,12.681
5763.682,14.479,15.871,12.064
5765.009,16.089,15.689,12.356
5766.337,16.184,15.724,13.879
5767.665,15.628,15.869,15.982
5768.993,16.274,15.976,21.045
5770.321,15.396,15.768,27.456
5771.65,16.537,15.823,26.601
5772.979,15.762,15.993,20.575
5774.309,16.871,16.008,15.476
5775.638,15.754,15.889,13.416
5776.969,15.264,15.835,13.274
5778.299,16.86,16.004,12.937
5779.63,16.261,16.192,13.058
5780.96,15.627,16.09,13.039
5782.292,14.781,15.958,12.571
5783.623,15.465,16.183,14.198
5784.955,16.629,16.213,14.003
5786.287,16.587,16.074,15.422
5787.62,16.12,16.2,14.649
5788.953,16.457,16.223,16.201
5790.286,16.164,16.081,21.09
5791.619,17.396,16.163,26.359
5792.953,18.417,16.39,25.587
5794.287,17.17,16.356,21.07
5795.621,18.046,16.232,17.367
5796.956,16.218,16.299,15.702
5798.291,15.204,16.474,13.901
5799.626,16.023,16.44,13.326
5800.962,17.155,16.251,13.387
5802.298,16.508,16.312,14.411
5803.634,16.25,16.32,14.453
5804.97,16.417,16.347,14.954
5806.307,16.895,16.423,15.036
5807.644,16.512,16.4,15.311
5808.982,17.008,16.31,15.078
5810.319,16.436,16.402,14.821
5811.657,15.192,16.565,14.678
5812.996,15.606,16.587,14.732
5814.334,15.179,16.387,14.98
5815.673,16.747,16.203,14.89
5817.013,15.997,16.458,15.221
5818.352,17.337,16.462,14.88
5819.692,17.14,16.405,15.572
5821.032,17.026,16.398,15.222
5822.373,16.234,16.381,15.239
5823.713,16.12,16.349,16.079
5825.055,16.838,16.465,16.215
5826.396,16.976,16.311,15.928
5827.738,16.08,16.333,15.695
5829.08,15.357,16.368,16.048
5830.422,17.265,16.343,16.241
5831.765,16.547,16.417,16.275
5833.108,15.207,16.446,16.961
5834.451,16.859,16.502,17.183
5835.795,16.593,16.426,17.003
5837.139,15.839,16.347,17.396
5838.483,17.018,16.421,17.727
5839.827,17.427,16.564,17.99
5841.172,17.304,16.477,17.694
5842.517,15.972,16.386,18.169
5843.863,15.602,16.258,18.306
5845.208,18.343,16.266,18.005
5846.554,15.305,16.388,18.512
5847.901,14.555,16.384,18.654
5849.248,17.339,16.258,18.783
5850.595,14.962,16.378,19.777
5851.942,17.434,16.329,19.479
5853.289,15.898,16.249,19.348
5854.637,14.778,16.333,19.623
5855.986,14.836,16.453,19.918
5857.334,15.341,16.344,20.035
5858.683,15.614,16.449,19.888
5860.032,15.641,16.458,19.985
5861.382,16.803,16.359,19.925
5862.731,16.362,16.262,20.169
5864.082,15.126,16.237,20.211
5865.432,16.928,16.344,21.345
5866.783,14.918,16.471,24.964
5868.134,14.752,16.33,26.881
5869.485,16.173,16.251,26.59
5870.837,16.934,16.294,23.775
5872.189,16.616,16.225,21.013
5873.541,16.708,16.23,20.003
5874.894,17.123,16.176,18.954
5876.246,16.259,16.178,18.791
5877.6,15.824,16.265,17.575
5878.953,17.341,16.403,16.007
5880.307,15.868,16.477,14.844
5881.661,17.301,16.298,13.702
5883.016,16.013,16.157,13.53
5884.37,17.094,16.197,13.269
5885.725,17.117,16.269,13.36
5887.081,16.81,16.295,15.889
5888.437,15.784,16.265,29.355
5889.793,13.578,16.082,90.077
5891.149,13.123,16.261,175.058
5892.506,14.525,16.147,157.467
5893.863,14.086,16.031,65.516
5895.22,15.639,16.185,46.395
5896.577,12.499,16.307,105.935
5897.935,17.832,16.029,122.235
5899.293,14.657,15.91,71.739
5900.652,15.119,15.825,23.477
5902.011,16.709,15.852,14.382
5903.37,16.293,15.985,14.182
5904.729,16.256,15.992,14.212
5906.089,16.807,15.781,15.528
5907.449,16.547,15.934,16.426
5908.81,15.745,15.96,16.612
5910.17,15.639,15.903,16.088
5911.531,16.131,15.753,15.976
5912.893,15.226,15.496,16.766
5914.254,17.308,15.678,17.892
5915.616,15.01,15.668,22.28
5916.979,17.221,15.632,25.121
5918.341,16.741,15.642,23.074
5919.704,16.172,15.622,20.068
5921.067,15.475,15.573,19.173
5922.431,15.856,15.653,20.124
5923.795,17.361,15.526,20.563
5925.159,17.814,15.724,21.733
5926.523,17.071,15.805,23.103
5927.888,15.716,15.636,22.313
5929.253,15.198,15.632,21.256
5930.619,14.825,15.723,21.302
5931.984,17.289,15.651,22.375
5933.35,16.684,15.544,26.564
5934.717,15.847,15.497,29.192
5936.083,16.795,15.523,26.52
5937.45,16.962,15.623,22.209
5938.818,16.51,15.792,21.437
5940.185,16.272,15.579,21.833
5941.553,17.71,15.569,21.242
5942.922,18.39,15.751,20.802
5944.29,15.943,15.821,21.356
5945.659,16.93,15.701,22.178
5947.028,16.688,15.733,23.066
5948.398,16.812,15.693,23.127
5949.768,14.715,15.618,21.845
5951.138,15.964,15.689,20.495
5952.508,16.988,15.804,21.725
5953.879,16.47,15.703,25.002
5955.25,15.159,15.542,26.031
5956.621,15.845,15.728,23.426
5957.993,16.523,15.674,20.031
5959.365,16.495,15.643,19.175
5960.738,16.797,15.728,21.076
5962.11,15.396,15.605,20.645
5963.483,16.433,15.374,20.568
5964.856,16.091,15.534,20.343
5966.23,16.859,15.568,19.591
5967.604,16.682,15.578,19.615
5968.978,15.167,15.631,19.469
5970.353,15.706,15.528,20.365
5971.728,17.051,15.345,21.111
5973.103,16.653,15.521,20.501
5974.478,17.236,15.352,20.063
5975.854,17.723,15.309,19.984
5977.23,16.592,15.442,21.214
5978.607,17.188,15.315,22.435
5979.984,16.631,15.384,21.108
5981.361,17.323,15.102,19.443
5982.738,17.48,15.117,18.888
5984.116,16.342,15.351,18.937
5985.494,15.883,15.354,18.833
5986.872,16.3,15.064,18.817
5988.251,18.136,15.151,18.246
5989.63,18.034,15.28,18.042
5991.009,16.333,15.225,17.789
5992.389,16.414,15.146,17.515
5993.769,17.121,15.241,17.51
5995.149,15.59,15.364,18.546
5996.53,16.608,15.036,18.087
5997.911,16.664,15.119,18.755
5999.292,16.051,15.076,18.566
6000.674,17.275,15.06,18.923
6002.055,15.904,15.096,18.384
6003.438,16.143,14.935,18.139
6004.82,16.815,14.864,18.958
6006.203,16.009,15.087,18.282
6007.586,16.41,15.003,16.733
6008.97,16.482,14.971,15.874
6010.353,16.107,15.145,16.023
6011.737,15.842,15.135,16.131
6013.122,15.325,14.882,16.753
6014.507,15.81,14.992,16.176
6015.892,15.344,15.066,15.771
6017.277,16.222,15.056,15.197
6018.663,16.717,15.169,15.415
6020.049,17.492,15.394,15.448
6021.435,15.189,15.251,15.315
6022.822,15.418,15.076,15.439
6024.209,15.193,15.099,15.218
6025.596,16.412,15.118,15.176
6026.983,15.691,14.951,15.438
6028.371,14.41,14.764,15.69
6029.76,15.954,14.958,15.921
6031.148,17.983,14.915,15.417
6032.537,16.909,14.79,15.145
6033.926,14.351,14.661,15.588
6035.316,16.954,14.595,16.065
6036.706,14.699,14.716,16.061
6038.096,14.579,14.935,15.725
6039.486,16.049,14.518,14.768
6040.877,16.123,14.445,14.725
6042.268,14.522,14.522,14.611
6043.66,15.309,14.439,14.634
6045.051,15.397,14.35,14.519
6046.444,14.515,14.376,14.402
6047.836,15.181,14.367,14.434
6049.229,15.213,14.393,14.051
6050.622,15.261,14.502,14.015
6052.015,16.036,14.545,14.107
6053.409,14.319,14.434,14.03
6054.803,15.11,14.513,13.921
6056.197,16.25,14.563,13.335
6057.592,13.661,14.533,13.199
6058.987,14.483,14.553,13.357
6060.382,14.903,14.619,13.593
6061.778,14.936,14.594,13.877
6063.174,16.32,14.499,13.971
6064.57,15.883,14.554,13.632
6065.966,14.681,14.355,13.306
6067.363,15.176,14.332,13.401
6068.761,15.363,14.56,13.801
6070.158,14.091,14.567,13.832
6071.556,14.856,14.377,13.7
6072.954,14.764,14.359,13.409
6074.353,15.049,14.411,13.159
6075.751,14.693,14.421,12.914
6077.151,14.833,14.401,12.821
6078.55,13.31,14.416,12.879
6079.95,13.745,14.418,12.995
6081.35,13.772,14.303,13.068
6082.75,13.775,14.334,12.912
6084.151,13.943,14.438,12.496
6085.552,14.352,14.441,12.373
6086.954,14.904,14.332,11.894
6088.355,15.035,14.309,12.053
6089.758,15.56,14.319,11.821
6091.16,14.678,14.408,11.935
6092.563,14.441,14.433,12.197
6093.966,14.695,14.425,12.365
6095.369,14.844,14.493,11.02
6096.773,15.007,14.403,11.342
6098.177,14.151,14.294,11.51
6099.581,15.071,14.331,12.714
6100.986,14.858,14.397,12.598
6102.391,14.814,14.376,12.535
6103.796,14.782,14.336,12.44
6105.201,13.839,14.432,12.902
6106.607,14.859,14.278,13.007
6108.014,14.424,14.321,13.029
6109.42,13.293,14.329,12.402
6110.827,14.521,14.274,12.344
6112.234,13.866,14.367,12.6
6113.642,14.203,14.261,12.714
6115.05,14.428,14.315,12.882
6116.458,15.066,14.446,12.86
6117.867,14.622,14.349,12.431
6119.275,14.075,14.257,12.172
6120.685,14.981,14.485,12.285
6122.094,14.392,14.365,12.236
6123.504,13.792,14.314,11.721
6124.914,14.912,14.358,11.686
6126.325,15.007,14.432,11.795
6127.735,14.991,14.474,11.759
6129.146,14.436,14.478,11.438
6130.558,14.791,14.521,11.234
6131.97,15.103,14.517,10.965
6133.382,14.659,14.4,11.087
6134.794,15.121,14.447,11.474
6136.207,15.007,14.648,11.651
6137.62,14.06,14.728,11.618
6139.033,14.608,14.732,12.024
6140.447,15.161,14.602,12.504
6141.861,14.438,14.663,12.484
6143.276,14.101,14.761,12.59
6144.69,14.515,14.788,13.289
6146.105,14.228,14.804,13.505
6147.521,14.498,14.765,12.914
6148.936,13.22,15.026,11.632
6150.352,15.811,14.999,11.61
6151.769,14.874,14.895,12.009
6153.185,15.01,14.96,13.137
6154.602,15.994,15.101,15.742
6156.02,14.373,15.245,17.398
6157.437,14.744,15.417,17.603
6158.855,14.16,15.416,15.779
6160.274,15.126,15.364,16.098
6161.692,15.419,15.368,19.455
6163.111,15.11,15.382,20.949
6164.53,15.884,15.411,18.926
6165.95,15.11,15.608,14.884
6167.37,14.754,15.494,12.75
6168.79,15.555,15.491,11.867
6170.211,16.05,15.721,12.296
6171.632,16.175,15.814,13.934
6173.053,16.107,15.858,13.72
6174.474,17.346,15.84,12.499
6175.896,16.27,15.992,11.749
6177.319,15.353,16.185,11.521
6178.741,16.878,16.204,11.524
6180.164,16.503,16.09,11.224
6181.587,16.015,16.225,10.767
6183.011,17.073,16.326,10.89
6184.435,17.695,16.524,10.988
6185.859,17.507,16.603,11.035
6187.283,17.098,16.66,10.779
6188.708,17.179,16.919,11.164
6190.133,18.986,16.928,11.017
6191.559,17.078,17.076,10.825
6192.985,20.309,17.327,10.637
6194.411,18.355,17.425,11.046
6195.837,18.123,17.478,11.633
6197.264,19.133,17.769,11.145
6198.691,17.567,18.022,11.046
6200.119,19.119,18.07,11.084
6201.546,19.432,18.087,11.275
6202.975,18.457,18.234,12.079
6204.403,18.945,18.521,13.112
6205.832,19.734,18.748,12.377
6207.261,18.867,18.694,10.972
6208.69,18.586,19.127,10.451
6210.12,20.098,19.317,10.443
6211.55,18.948,19.425,10.77
6212.981,19.543,19.672,11.432
6214.411,21.16,19.943,11.739
6215.842,22.194,20.244,11.184
6217.274,20.455,20.498,10.46
6218.706,21.859,20.738,10.099
6220.138,22.56,20.967,10.46
6221.57,22.464,21.3,11.921
6223.003,23.108,21.725,12.811
6224.436,23.608,21.798,12.318
6225.869,23.376,21.919,11.027
6227.303,23.718,22.434,10.082
6228.737,23.916,22.809,9.977
6230.171,23.026,22.85,10.083
6231.606,23.539,23.028,9.979
6233.041,24.541,23.611,10.684
6234.477,24.207,23.844,13.906
6235.912,25.439,24.096,19.571
6237.348,23.797,24.358,23.841
6238.785,23.709,24.54,22.018
6240.221,23.273,24.777,17.671
6241.658,23.636,25.29,15.179
6243.096,24.736,25.827,15.006
6244.534,25.404,26.211,14.513
6245.972,25.038,26.735,12.775
6247.41,24.97,27.334,11.181
6248.849,25.594,27.525,10.821
6250.288,25.297,27.198,10.672
6251.727,24.266,26.706,10.598
6253.167,24.197,26.035,10.146
6254.607,23.645,25.378,9.908
6256.047,24.062,24.992,10.544
6257.488,23.508,24.88,15.548
6258.929,23.575,24.596,22.571
6260.37,23.665,24.129,22.457
6261.812,22.61,23.811,17.261
6263.254,24.552,23.685,12.508
6264.696,23.049,23.59,13.033
6266.139,23.265,23.44,14.433
6267.582,23.989,23.369,14.388
6269.025,24.971,22.975,12.854
6270.469,24.251,22.61,11.215
6271.913,23.241,22.397,10.397
6273.357,24.582,22.261,10.254
6274.802,23.124,22.087,10.561
6276.247,24.787,21.791,11.035
6277.692,24.744,21.435,11.569
6279.138,24.524,21.129,11.902
6280.584,21.573,20.922,11.396
6282.03,23.976,20.713,10.566
6283.477,24.535,20.412,9.775
6284.924,24.097,20.211,10.485
6286.371,23.274,20.077,12.435
6287.819,22.983,19.96,17.472
6289.267,23.195,19.871,20.268
6290.715,23.921,19.717,17.284
6292.164,22.95,19.436,12.615
6293.613,21.919,19.307,10.414
6295.062,22.079,19.368,10.134
6296.511,20.682,19.097,10.883
6297.961,20.124,18.897,14.223
6299.412,22.974,18.801,29.411
6300.862,21.911,18.513,63.87
6302.313,19.898,18.557,73.595
6303.765,18.277,18.373,52.607
6305.216,19.179,18.202,22.044
6306.668,17.613,18.064,17.178
6308.121,19.377,17.936,21.616
6309.573,18.382,17.879,22.021
6311.026,17.735,17.865,15.806
6312.48,17.617,17.779,10.717
6313.933,18.017,17.833,9.772
6315.387,18.216,17.796,9.838
6316.842,17.776,17.662,9.839
6318.296,18,17.662,9.733
6319.751,17.77,17.607,9.994
6321.207,16.199,17.475,11.692
6322.662,16.462,17.371,13.664
6324.119,15.516,17.217,13.084
6325.575,16.68,17.212,11.195
6327.032,15.402,17.464,10.071
6328.489,15.502,17.245,11.194
6329.946,15.597,17.119,16.003
6331.404,15.896,17.236,18.755
6332.862,15.759,17.269,16.887
6334.32,13.698,17.186,12.905
6335.779,15.243,17.161,10.214
6337.238,16.455,16.92,9.548
6338.697,15.424,16.828,9.527
6340.157,14.388,16.812,9.596
6341.617,14.705,16.641,9.565
6343.077,15.27,16.441,9.908
6344.538,14.895,16.505,9.716
6345.999,16.316,16.591,9.645
6347.46,14.893,16.462,9.943
6348.922,14.786,16.471,11.561
6350.384,16.193,16.399,12.345
6351.847,14.694,16.193,11.89
6353.309,16.023,16.176,10.234
6354.772,16.675,16.417,11.127
6356.236,17.121,16.488,14.976
6357.7,17.306,16.345,15.597
6359.164,15.82,16.336,15.164
6360.628,15.488,16.604,12.27
6362.093,16.694,16.897,11.642
6363.558,16.538,16.961,19.098
6365.023,16.341,17.266,28.612
6366.489,16.764,17.568,27.965
6367.955,16.844,18.2,18.244
6369.422,19.269,19.153,9.957
6370.888,18.67,19.951,9.033
6372.356,19.035,20.54,9.124
6373.823,17.566,20.918,9.44
6375.291,18.066,20.535,9.261
6376.759,16.821,19.763,9.522
6378.227,16.472,18.667,9.761
6379.696,16.122,17.285,10.949
6381.165,14.693,16.855,11.253
6382.635,13.9,16.318,10.639
6384.105,14.774,15.958,9.8
6385.575,14.241,15.703,10.549
6387.045,14.208,15.452,12.077
6388.516,14.37,15.261,12.582
6389.987,14.23,15.064,11.362
6391.459,14.574,14.997,9.683
6392.931,14.436,14.909,9.425
6394.403,14.608,14.816,9.357
6395.875,14.936,14.774,8.745
6397.348,14.313,14.808,8.816
6398.822,14.419,14.941,8.912
6400.295,13.767,14.893,8.669
6401.769,13.851,14.901,8.787
6403.243,14.948,14.955,9.044
6404.718,14.16,14.971,9.308
6406.193,14.323,14.975,9.078
6407.668,14.092,15.072,8.786
6409.144,13.154,15.162,8.94
6410.619,14.714,15.368,8.703
6412.096,14.816,15.579,8.681
6413.572,15.268,15.846,9.292
6415.049,15.473,16.239,9.634
6416.527,15.22,16.372,9.475
6418.004,15.644,16.621,9.062
6419.482,15.381,17.043,8.898
6420.961,17.038,17.386,9.702
6422.439,17.949,17.805,9.611
6423.918,16.527,18.685,9.381
6425.398,19.025,19.736,8.578
6426.877,19.207,20.682,8.479
6428.357,19.884,21.749,8.789
6429.838,21.172,23.332,8.622
6431.318,23.753,25.397,8.509
6432.799,25.537,27.571,8.268
6434.281,26.295,29.516,8.489
6435.762,26.138,29.664,8.654
6437.244,24.533,28.429,8.697
6438.727,22.068,26.184,8.568
6440.21,19.425,23.578,8.483
6441.693,17.956,21.495,8.533
6443.176,17.434,20.114,8.361
6444.66,16.374,18.935,8.328
6446.144,15.177,17.931,8.287
6447.628,14.973,17.19,8.424
6449.113,15.112,16.702,8.626
6450.598,14.643,16.324,8.729
6452.084,14.444,15.92,8.916
6453.57,14.801,15.727,8.994
6455.056,14.82,15.631,8.751
6456.542,14.424,15.354,8.576
6458.029,14.174,15.043,8.739
6459.516,14.486,15.032,9.523
6461.004,13.658,15.033,9.403
6462.492,14.059,14.911,9.234
6463.98,13.818,14.727,10.747
6465.468,13.737,14.603,13.469
6466.957,14.291,14.674,15.326
6468.447,14.49,14.795,14.343
6469.936,15.019,14.408,12.843
6471.426,14.677,14.266,13.61
6472.916,13.149,14.425,14.745
6474.407,12.997,14.364,12.409
6475.898,13.569,14.11,9.243
6477.389,14.569,14.11,8.685
6478.881,14.127,14.082,9.665
6480.373,13.753,13.916,9.867
6481.865,14.616,13.87,8.893
6483.358,13.891,13.811,7.974
6484.851,14.354,13.736,7.454
6486.344,14.624,13.801,7.484
6487.838,14.195,13.816,7.872
6489.332,14.325,13.783,8.036
6490.826,15.11,13.714,7.864
6492.321,13.779,13.681,8.015
6493.816,14.472,13.647,7.956
6495.312,13.472,13.582,7.652
6496.808,14.811,13.69,8.338
6498.304,14.211,13.627,13.199
6499.8,12.595,13.45,19.002
6501.297,13.647,13.38,19.715
6502.794,12.963,13.443,14.504
6504.292,14.241,13.482,10.315
6505.789,13.632,13.467,11.67
6507.288,12.903,13.514,12.351
6508.786,13.724,13.336,10.771
6510.285,13.616,13.306,8.657
6511.784,13.438,13.326,8.096
6513.284,13.389,12.987,8.066
6514.784,13.465,12.905,8.396
6516.284,13.057,13.048,8.304
6517.785,13.015,13.017,7.786
6519.285,12.789,12.913,7.509
6520.787,13.362,12.919,7.817
6522.288,14,12.978,9.231
6523.79,12.456,12.907,10.423
6525.293,12.866,12.992,10.255
6526.795,12.601,12.835,9.43
6528.298,12.085,12.751,8.707
6529.802,12.618,12.86,8.552
6531.306,12.425,12.831,8.809
6532.81,12.884,12.623,12.72
6534.314,12.88,12.627,17.983
6535.819,13.236,12.921,16.892
6537.324,12.167,13.054,11.728
6538.829,11.702,12.92,8.364
6540.335,12.603,12.796,8.028
6541.841,12.001,12.66,8.364
6543.348,13.527,12.776,9.384
6544.855,12.288,12.826,11.766
6546.362,12.79,12.743,12.164
6547.869,13.14,12.688,10.854
6549.377,12.842,12.746,8.808
6550.885,13.1,12.695,8.444
6552.394,12.198,12.803,9.901
6553.903,13.014,12.703,15.33
6555.412,13.591,12.628,18.442
6556.922,12.822,12.7,15.561
6558.432,12.726,12.698,10.041
6559.942,12.879,12.602,7.852
6561.453,13.421,12.704,9.448
6562.964,14.095,12.667,13.205
6564.475,13.114,12.633,15.386
6565.987,12.583,12.708,13.348
6567.499,12.541,12.763,9.697
6569.011,13.499,12.777,9.835
6570.524,12.36,12.689,10.875
6572.037,13.768,12.765,10.152
6573.55,12.598,12.828,8.827
6575.064,12.652,12.783,8.256
6576.578,13.654,12.759,10.566
6578.093,12.691,12.738,15.129
6579.608,12.261,12.788,16.276
6581.123,12.633,12.681,12.905
6582.638,14.206,12.625,9.973
6584.154,14.617,12.76,9.749
6585.671,12.816,12.867,9.445
6587.187,12.879,12.643,8.445
6588.704,12.922,12.565,7.687
6590.221,12.815,12.603,7.548
6591.739,12.65,12.652,7.857
6593.257,12.491,12.725,8.014
6594.775,13.102,12.878,7.924
6596.294,12.799,13.017,8.46
6597.813,12.719,12.99,9.626
6599.332,12.97,12.978,9.959
6600.852,12.498,13.038,8.843
6602.372,12.809,12.994,8.168
6603.893,12.179,12.814,9.834
6605.413,12.626,13.045,11.923
6606.934,12.179,13.241,11.398
6608.456,11.591,13.226,9.453
6609.978,12.952,13.129,7.56
6611.5,12.996,13.179,7.14
6613.022,12.208,13.403,7.385
6614.545,12.226,13.408,7.746
6616.069,13.474,13.353,7.498
6617.592,12.939,13.307,7.428
6619.116,12.7,13.329,7.257
6620.64,12.686,13.47,7.505
6622.165,12.588,13.643,7.446
6623.69,12.887,13.591,7.335
6625.215,12.753,13.65,7.429
6626.741,12.721,13.704,7.754
6628.267,13.467,13.729,8.479
6629.793,13.165,13.731,8.613
6631.32,12.827,13.724,8.197
6632.847,14.024,13.795,7.854
6634.375,13.732,13.725,8.47
6635.903,13.745,13.709,9.304
6637.431,12.273,13.749,9.062
6638.959,12.438,13.731,8.223
6640.488,12.861,13.68,7.637
6642.017,12.849,13.819,7.672
6643.547,12.716,13.659,7.432
6645.077,13.007,13.735,7.275
6646.607,13.132,13.892,7.185
6648.138,13.693,13.805,7.077
6649.669,12.987,13.59,7.266
6651.2,12.973,13.764,7.436
6652.732,12.657,13.615,7.783
6654.264,13.481,13.823,7.698
6655.796,12.85,13.959,7.59
6657.329,12.067,13.857,7.682
6658.862,12.915,13.918,7.764
6660.395,13.768,13.914,7.73
6661.929,13.64,13.721,7.876
6663.463,13.563,13.696,7.931
6664.998,13.292,13.661,7.904
6666.532,12.997,13.602,7.719
6668.068,13.665,13.667,8.327
6669.603,13.16,13.549,8.579
6671.139,13.456,13.661,8.281
6672.675,13.323,13.654,7.697
6674.212,13.376,13.519,7.589
6675.749,12.792,13.553,7.654
6677.286,13.616,13.823,7.574
6678.824,12.131,13.728,7.647
6680.362,14.177,13.585,7.734
6681.9,12.978,13.592,7.502
6683.439,14.525,13.651,7.393
6684.978,13.61,13.574,7.375
6686.518,13.62,13.39,7.384
6688.058,13.25,13.5,7.737
6689.598,13.576,13.637,8.127
6691.138,12.887,13.541,7.896
6692.679,12.439,13.253,7.47
6694.22,13.177,13.11,7.415
6695.762,12.695,13.295,7.365
6697.304,12.87,13.276,7.505
6698.846,13.16,13.301,7.973
6700.389,12.682,13.268,8.469
6701.932,13.029,13.216,8.562
6703.475,13.392,13.307,8.225
6705.019,13.728,13.472,8.293
6706.563,13.728,13.228,8.607
6708.107,12.551,13.287,9.326
6709.652,13.674,13.269,9.596
6711.197,12.971,13.36,9.089
